"","ID","enumerator","date","district","sub","trader.q3","trader.q4","trader.q5","trader.q6","trader.q7","trader.q8","trader.q9","trader.q10","trader.q11","trader.q12","trader.q14","trader.q16","trader.q17","trader.q18.Bongo","trader.q18.Ghee","trader.q18.Other","trader.q19","trader.q20","trader.q21","trader.q22","trader.q23","trader.q24","trader.q25","trader.q26","trader.q27","trader.q28","trader.q29","trader.q30","trader.q31","trader.q33","trader.q35","trader.q36","trader.q37","trader.q38","trader.q39","trader.q40","trader.q41","trader.q42","trader.q43","trader.q44","trader.q45","trader.q46","trader.q47","trader.q48","trader.q49","trader.q50","trader.q51","trader.q52","trader.q53","trader.q54","trader.q55","trader.q56","trader.q57","trader.q58","trader.q59","trader.q60.1","trader.q60.2","trader.q60.3","trader.q60.4","trader.q60.5","trader.q60.96","trader.q61","trader.q62","trader.q63","trader.q64","trader.q65","trader.q66","trader.q67","trader.q68","trader.q69","trader.q70","trader.q71","trader.q72","trader.q73","trader.q74","trader.q75","trader.q76","trader.q77","trader.q78","trader.q80","trader.q81","trader.q82","trader.q83","trader.q83b","trader.q84","trader.q85","trader.q85b","trader.q86","trader.q87","trader.q88","trader.q89","trader.q91","trader.q92","trader.q93","trader.q94","trader.q95","trader.q96","trader.q97","trader.q98","trader.q99.1","trader.q99.2","trader.q99.3","trader.q99.4","trader.q100","trader.q101","trader.q102","trader.q103","shed"
"129","T_129","EN_9","12/6/2018","KIRUHURA","KESHUNGA",32,"Male",3,"Yes","n/a",5,3,2,"MBARARA","KAGONGI",1,2,"No","n/a","n/a","n/a","Yes","50","1/1/2012","1/1/2018",60,5,5,"n/a","2","1","3","No","No",800,1,1,500,0,0,200,0,0,0,0,0,500,5,1,300,0,0,0,0,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,0,0,0,1,1,0,0,0,3,"Yes",230,1,1,"Yes","Yes","No","07:30:00.000+03","1","4","1","n/a","n/a","n/a","n/a","n/a","50","300","7","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","TRUE","FALSE","Yes","1000000","No","School fees","SW"
"130","T_130","EN_8","12/6/2018","KIRUHURA","KENSHUNGA",35,"Male",2,"Yes","n/a",6,1,2,"KIRUHURA","KIRUHURA ZTOWN COUNCIL",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2017",50,20,20,"2","n/a","2","3","No","Yes",1000,1,1,50,0,0,50,0,0,0,0,0,550,1,1,150,0,0,150,0,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,0,0,0,1,1,1,1,1,3,"Yes",150,3,1,"Yes","Yes","Yes","08:30:00.000+03","n/a","n/a","n/a","1","1","4","3","3","n/a","n/a","n/a","n/a","50","100","8","Yes","2","Yes","Yes","Yes","FALSE","TRUE","FALSE","TRUE","No","n/a","n/a","n/a","SW"
"131","T_131","EN_8","12/6/2018","KIRUHURA","KENSHUNGA",18,"Male",4,"Yes","n/a",10,1,2,"KIRUHURA","KENSHUNGA",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2005","1/1/2016",50,3,1,"2","2","2","3","No","Yes",800,1,1,50,0,0,50,0,0,0,0,0,400,1,1,200,0,0,200,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,0,0,2,1,0,1,1,0,3,"Yes",100,4,3,"Yes","Yes","Yes","10:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","TRUE","TRUE","No","n/a","n/a","n/a","SW"
"132","T_132","EN_8","12/6/2018","KIRUHURA","KENSHUNGA",23,"Male",2,"No","3",7,1,2,"KIRUHURA","KENSHUNGA",1,2,"No","n/a","n/a","n/a","No","n/a","1/1/2015","1/1/2015",40,4,12,"n/a","3","3","3","No","Yes",1000,1,1,50,0,0,50,0,0,0,0,0,500,1,1,150,0,0,150,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,0,0,2,1,1,1,1,1,3,"Yes",200,4,3,"Yes","Yes","Yes","09:30:00.000+03","1","4","3","n/a","n/a","n/a","n/a","n/a","20","200","3","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","TRUE","FALSE","No","n/a","n/a","n/a","SW"
"133","T_133","EN_8","12/6/2018","KIRUHURA","KENSHUNGA",19,"Male",1,"No","3",6,96,2,"KIRUHURA","KENSHUNGA",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2016","1/1/2016",60,4,2,"3","3","3","3","No","No",600,1,2,200,0,0,100,100,0,0,0,0,450,1,2,200,0,0,100,100,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,0,0,2,1,0,1,1,1,3,"Yes",140,4,2,"Yes","Yes","Yes","10:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","TRUE","FALSE","Yes","500000","Yes","Added in milk business","SW"
"134","T_134","EN_8","12/6/2018","KIRUHURA","KESHUNGA",44,"Male",3,"Yes","n/a",8,1,2,"KIRUHURA","KENSHUNGA",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2000","1/1/2000",70,4,4,"2","2","3","3","No","No",1000,1,1,50,0,0,50,0,0,0,0,0,500,1,1,200,0,0,200,0,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,0,1,0,1,0,0,3,"Yes",150,4,18,"Yes","Yes","Yes","09:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"135","T_135","EN_3","12/6/2018","KIRUHURA","KENSHUNGA",30,"Male",4,"Yes","n/a",5,1,2,"KIRUHURA","NYAKASHARARA",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2011","1/1/2011",40,30,4,"2","2","1","3","Yes","No",1000,1,26,1900,500,0,0,1400,0,0,0,10,500,1,30,2550,500,0,0,2050,0,0,0,10,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",12,3,0,0,3,0,2,0,0,3,"Yes",200,1,8,"Yes","Yes","Yes","10:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","Yes","6000000","Yes","Buying cans","SW"
"136","T_136","EN_3","12/6/2018","KIRUHURA","KENSHUNGA",25,"Male",1,"Yes","n/a",2,1,2,"KIRUHURA","KENSHUNGA",96,3,"No","n/a","n/a","n/a","No","n/a","1/1/2012","1/1/2012",40,10,4,"1","2","1","3","No","Yes",1000,1,7,500,0,0,0,500,0,0,0,5,400,1,7,800,0,0,0,800,0,0,0,5,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",7,0,0,5,1,0,2,1,1,3,"Yes",280,1,6,"Yes","Yes","Yes","10:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","TRUE","FALSE","No","n/a","n/a","n/a","SW"
"137","T_137","EN_3","12/6/2018","KIRUHURA","KENSHUNGA",30,"Male",4,"Yes","n/a",4,4,1,"KIRUHURA","NYAKASHARA",1,3,"No","n/a","n/a","n/a","Yes","80","1/1/2005","1/1/2005",70,50,20,"2","2","2","3","No","No",1000,1,60,1500,0,0,0,1500,0,0,0,5,400,1,60,3000,0,0,0,3000,0,0,0,6,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",67,2,0,0,2,5,2,1,1,4,"n/a",1500,1,13,"Yes","Yes","Yes","10:30:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","TRUE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"138","T_138","EN_3","12/6/2018","KIRUHURA","KENSHUNGA",23,"Male",3,"No","4",6,1,2,"KIRUHURA","KENSHUNGA",96,2,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2018",40,10,10,"n/a","2","2","3","No","No",1000,1,6,200,0,0,0,200,0,0,0,5,400,1,6,300,0,0,0,300,0,0,0,5,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",6,1,0,0,1,0,1,1,0,3,"Yes",300,1,1,"Yes","Yes","Yes","11:00:00.000+03","2","5","1","n/a","n/a","n/a","n/a","n/a","10","295","7","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","TRUE","FALSE","No","n/a","n/a","n/a","SW"
"139","T_139","EN_3","12/6/2018","KIRUHURA","KENSHUNGA",24,"Male",3,"No","4",4,1,5,"KIRUHURA","KENSHUNGA",96,3,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2017",50,11,2,"3","3","3","3","Yes","Yes",1000,1,11,700,0,0,0,700,0,0,0,5,400,1,11,1000,0,0,0,1000,0,0,0,5,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,4,0,0,1,0,1,1,1,3,"Yes",400,1,2,"Yes","Yes","Yes","10:30:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","FALSE","TRUE","No","n/a","n/a","n/a","SW"
"140","T_140","EN_2","12/6/2018","KIRUHURA","KENSHUNGA",34,"Male",1,"Yes","n/a",2,3,2,"KIRUHURA","KENSHUNGA",3,1,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2018",40,10,8,"2","n/a","1","1","Yes","Yes",1000,1,6,100,160,0,0,0,0,0,0,2,500,1,8,150,0,0,180,0,0,0,0,2,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,0,0,0,0,1,1,0,1,2,"n/a",90,3,2,"Yes","Yes","Yes","07:36:00.000+03","n/a","n/a","n/a","96","96","4","1","1","n/a","n/a","n/a","n/a","100","250","7","Yes","2","Yes","Yes","Yes","FALSE","FALSE","FALSE","TRUE","No","n/a","n/a","n/a","SW"
"141","T_141","EN_2","12/6/2018","KIRUHURA","KENSHUNGA",25,"Male",5,"Yes","n/a",1,3,2,"KIRUHURA","KENSHUNGA",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2017",30,8,4,"2","n/a","1","1","No","No",1000,1,3,60,400,0,0,0,0,0,0,2,500,1,3,160,150,0,0,0,0,0,0,2,1,"2","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",6,0,0,0,1,1,1,0,1,3,"Yes",300,1,2,"Yes","Yes","Yes","23:28:00.000+03","n/a","n/a","n/a","96","96","4","1","1","n/a","n/a","n/a","n/a","50","200","2","Yes","2","Yes","Yes","Yes","FALSE","FALSE","FALSE","TRUE","No","n/a","n/a","n/a","SW"
"142","T_142","EN_2","12/6/2018","KIRUHURA","KENSHUNGA",32,"Male",3,"Yes","n/a",3,3,2,"KIRUHURA","KENSHUNGA",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2016","1/1/2016",30,60,20,"1","n/a","1","1","No","No",1250,1,10,350,0,0,0,0,0,0,0,5,1200,1,3,1000,0,0,999,999,0,0,0,5,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,0,1,0,1,0,1,3,"Yes",250,1,6,"Yes","Yes","Yes","07:27:00.000+03","n/a","n/a","n/a","96","96","4","1","1","n/a","n/a","n/a","n/a","50","200","4","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"143","T_143","EN_12","12/6/2018","KIRUHURA","KENSHUNGA",30,"Male",4,"Yes","n/a",2,1,2,"KIRUHURA","KENSHUNGA",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2013","1/1/2013",100,999,100,"3","n/a","2","1","Yes","Yes",800,1,20,600,0,0,300,600,600,0,0,0,600,1,20,1000,0,0,300,300,300,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,8,0,2,3,0,1,4,0,3,"Yes",300,6,4,"Yes","Yes","Yes","08:30:00.000+03","n/a","n/a","n/a","1","96","4","3","1","n/a","n/a","n/a","n/a","100","800","4","Yes","2","Yes","Yes","Yes","TRUE","TRUE","FALSE","FALSE","No","n/a","n/a","n/a","SW"
"144","T_144","EN_7","12/6/2018","KIRUHURA","KENSHUNGA",40,"Male",2,"Yes","n/a",7,1,2,"KIRUHURA","KENSHUNGA",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2016","1/1/2016",60,5,4,"1","n/a","3","1","No","Yes",1000,1,6,400,0,0,0,200,0,0,0,0,500,1,6,800,0,0,400,400,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",6,0,0,0,2,0,1,2,1,3,"Yes",300,1,1.5,"Yes","Yes","Yes","09:00:00.000+03","n/a","n/a","n/a","1","1","4","1","1","n/a","n/a","n/a","n/a","100","80","5","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"145","T_145","EN_7","12/6/2018","KIRUHURA","KENSHUNGA",22,"Male",3,"Yes","n/a",3,1,2,"KIRUHURA","KENSHUNGA",96,2,"No","n/a","n/a","n/a","No","n/a","1/1/2016","1/1/2016",40,5,3,"n/a","2","2","1","No","No",1000,1,6,150,0,0,0,150,0,0,0,0,400,1,6,800,0,0,0,800,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",6,1,0,0,2,0,1,1,0,3,"Yes",300,1,2,"Yes","Yes","Yes","08:04:00.000+03","1","4","1","n/a","n/a","n/a","n/a","n/a","100","300","30","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"146","T_146","EN_7","12/6/2018","KIRUHURA","KENSHUNGA",20,"Male",4,"No","4",5,1,2,"KIRUHURA","KENSHUNGA",96,2,"No","n/a","n/a","n/a","No","n/a","1/1/2014","1/1/2014",30,5,3,"n/a","2","2","2","No","No",1200,5,14,400,0,0,0,200,0,0,0,0,500,5,14,600,0,0,0,600,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,1,0,0,1,0,1,1,0,3,"Yes",200,1,4,"Yes","Yes","Yes","11:35:00.000+03","1","4","1","n/a","n/a","n/a","n/a","n/a","100","300","5","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"147","T_147","EN_7","12/6/2018","KIRUHURA","KENSHUNGA",42,"Male",1,"Yes","n/a",7,1,2,"KIRUHURA","KENSHUNGA",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2016","1/1/2016",50,4,1,"3","3","3","3","No","Yes",1200,1,7,200,0,0,0,200,0,0,0,0,500,1,7,600,0,0,0,600,0,0,0,0,1,"8","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",3,1,0,4,3,0,1,1,0,3,"Yes",200,1,2,"Yes","Yes","Yes","09:30:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"148","T_148","EN_5","12/8/2018","KIRUHURA","KAZO",30,"Male",1,"Yes","n/a",2,3,2,"KIRUHURA","KAZO",1,1,"No","n/a","n/a","n/a","Yes","50","1/1/2014","1/1/2017",40,10,999,"1","n/a","1","1","Yes","Yes",1000,1,8,400,0,0,50,200,0,50,0,999,800,1,8,600,0,0,200,150,0,0,0,3,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,2,0,0,1,0,0,1,1,3,"Yes",200,3,6,"Yes","Yes","Yes","11:00:00.000+03","n/a","n/a","n/a","1","1","4","3","3","n/a","n/a","n/a","n/a","50","200","3","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"149","T_149","EN_4","12/8/2018","KIRUHURA","KAZO",50,"Male",3,"Yes","n/a",9,2,2,"KIRUHURA","KAZO",1,3,"No","n/a","n/a","n/a","No","n/a","1/1/2014","1/1/2014",100,4,1,"2","2","3","1","Yes","No",1000,1,20,450,0,0,200,0,0,0,0,0,400,1,20,500,0,0,500,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,0,1,0,1,1,0,3,"No",200,3,3,"Yes","Yes","Yes","07:30:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","TRUE","FALSE","TRUE","Yes","500000","No","Paying school fees","SW"
"150","T_150","EN_8","12/8/2018","KIRUHURA","KAZO",20,"Male",4,"No","3",7,2,2,"KIRUHURA","KAZO",3,2,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2017",80,8,5,"n/a","2","2","1","Yes","Yes",1500,1,1,508,0,0,200,0,0,0,0,0,500,1,1,1000,0,0,200,0,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,0,1,0,1,2,1,3,"Yes",200,3,1.4,"Yes","Yes","Yes","07:30:00.000+03","1","4","3","n/a","n/a","n/a","n/a","n/a","35","200","5","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","TRUE","FALSE","No","n/a","n/a","n/a","SW"
"151","T_151","EN_10","12/8/2018","KIRUHURA","KAZO",32,"Male",1,"Yes","n/a",8,3,2,"KIRUHURA","KAZO",1,3,"No","n/a","n/a","n/a","Yes","80","1/1/2010","1/1/2014",30,5,4,"1","1","1","1","Yes","Yes",1000,1,5,400,0,0,200,0,0,0,0,0,400,1,5,600,0,0,500,0,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,1,0,3,1,0,1,1,0,3,"No",200,3,2,"Yes","Yes","Yes","10:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","TRUE","FALSE","FALSE","Yes","1000000","Yes","Servicing bodaboda used in transport","SW"
"152","T_152","EN_11","12/8/2018","KIRUHURA","KAZO",31,"Male",4,"No","4",3,1,2,"KIRUHURA","KAZO",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2015","1/1/2015",60,6,3,"2","n/a","1","3","No","No",1200,1,14,500,0,0,200,200,0,0,100,0,500,1,14,900,0,0,0,900,0,0,0,0,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,1,0,0,1,2,1,1,0,3,"No",170,1,1,"Yes","Yes","Yes","09:30:00.000+03","n/a","n/a","n/a","1","1","4","1","1","n/a","n/a","n/a","n/a","60","200","3","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","SW"
"153","T_153","EN_2","12/8/2018","KIRUHURA","KAZO",18,"Male",2,"No","3",10,96,2,"KIRUHURA","KAZO",96,1,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2013",60,5,6,"2","n/a","1","1","Yes","No",1000,1,7,150,0,0,150,0,0,0,0,5,600,1,7,150,0,0,150,0,0,0,0,5,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,0,0,3,2,1,1,1,1,3,"Yes",200,3,5,"Yes","Yes","Yes","07:30:00.000+03","n/a","n/a","n/a","1","96","4","2","1","n/a","n/a","n/a","n/a","200","230","2","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","Yes","2000000","No","Bought a banana plantation.","SW"
"154","T_154","EN_14","9/28/2018","NAKASEKE","KINYOGOGA ",22,"Male",4,"Yes","n/a",7,2,5,"NAKASEKE","KINYOGOGA ",1,2,"No","n/a","n/a","n/a","No","n/a","1/1/2015","1/1/2015",100,30,50,"n/a","3","3","3","No","No",1000,1,10,150,0,0,0,145,0,0,0,5,500,1,10,250,0,0,0,200,0,10,10,10,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,13,1,0,2,0,0,3,"Yes",300,1,3,"Yes","Yes","Yes","10:00:00.000+03","1","3","3","n/a","n/a","n/a","n/a","n/a","20","250","15","Buyer","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","FALSE","TRUE","Yes","1500000","Yes","BOUGHT A BODABODA","C"
"155","T_155","EN_14","9/28/2018","NAKASEKE","KINYOGOGA ",42,"Male",2,"Yes","n/a",6,1,96,"NAKASEKE","KINYOGOGA ",1,1,"No","n/a","n/a","n/a","No","n/a","1/1/2014","1/1/2014",100,999,20,"3","n/a","3","3","No","No",1100,1,4,100,0,0,0,100,0,0,0,0,800,1,6,120,0,0,0,118,0,0,0,2,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,6,0,1,2,0,0,2,"n/a",120,1,5,"Yes","Yes","Yes","10:06:00.000+03","n/a","n/a","n/a","1","1","3","1","1","n/a","n/a","n/a","n/a","100","120","5","Yes","2","Yes","Yes","Yes","FALSE","FALSE","FALSE","TRUE","No","n/a","n/a","n/a","C"
"156","T_156","EN_13","9/11/2018","MASINDI","KAPEKE",27,"Male",4,"Yes","n/a",10,1,2,"KIBOGA","KAPEKE",1,2,"No","n/a","n/a","n/a","No","n/a","1/1/2009","1/1/2014",20,6,2,"n/a","1","2","1","Yes","Yes",1200,1,4,200,0,0,200,0,0,0,0,6,600,4,4,300,0,0,200,0,0,0,0,6,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",4,0,0,1,1,1,1,0,0,3,"Yes",170,3,4,"Yes","Yes","Yes","10:30:00.000+03","1","3","2","n/a","n/a","n/a","n/a","n/a","29","170","2","Both","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","No","n/a","n/a","n/a","C"
"157","T_157","EN_13","9/11/2018","MASINDI","KAYERA",23,"Male",4,"Yes","n/a",1,2,2,"KIBOGA","KAYARA",1,2,"No","n/a","n/a","n/a","Yes","30","1/1/2018","1/1/2017",45,7,20,"n/a","2","1","2","Yes","Yes",800,1,14,200,200,3,197,0,0,0,0,0,550,1,14,250,0,0,148,0,0,0,0,0,2,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,12,1,0,1,1,1,3,"No",200,3,2,"Yes","Yes","Yes","08:20:00.000+03","1","5","2","n/a","n/a","n/a","n/a","n/a","50","20","1","Both","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","C"
"158","T_158","EN_13","n/a","KIBOGA","KAPEKE",30,"Male",3,"Yes","n/a",5,1,3,"KIBOGA","KEPEKE",1,2,"No","n/a","n/a","n/a","Yes","40","1/1/2001","1/1/2003",1,60,20,"n/a","1","1","1","Yes","Yes",1000,1,5,120,4,3,100,0,0,0,0,10,600,1,3,160,3,10,150,0,0,0,0,5,1,"2","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",2,0,0,3,1,0,1,1,1,3,"Yes",160,3,15,"Yes","Yes","Yes","10:30:00.000+03","1","3","2","n/a","n/a","n/a","n/a","n/a","50","120","9","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","TRUE","FALSE","FALSE","FALSE","Yes","1000000","Yes","Boosted  milk businesss","C"
"159","T_159","EN_9","9/11/2018","KIBOGA","KAPEKE",20,"Male",4,"Yes","n/a",20,1,5,"KIBOGA","KAPEKE",96,2,"No","n/a","n/a","n/a","No","n/a","1/1/2008","1/1/2018",35,5,12,"n/a","2","3","1","No","Yes",1150,1,1,200,0,0,200,0,200,0,0,10,800,1,1,350,0,0,200,0,200,0,0,10,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,0,0,0,1,0,0,3,"Yes",150,4,10,"Yes","Yes","Yes","08:30:00.000+03","1","4","3","n/a","n/a","n/a","n/a","n/a","16","274","5","Seller","n/a","n/a","n/a","Yes","1","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","C"
"160","T_160","EN_9","n/a","KIBOGA","KAPEKE",36,"Male",2,"Yes","n/a",5,2,2,"KYANKWANZI","BANDA",1,3,"No","n/a","n/a","n/a","Yes","30","1/1/2015","1/1/2015",25,20,10,"2","2","1","1","No","Yes",1100,1,3,80,0,0,80,10,80,0,0,2,700,1,3,150,0,0,150,10,150,0,0,2,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,0,0,2,5,1,1,2,1,3,"No",150,4,3,"Yes","Yes","Yes","08:00:00.000+03","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","FALSE","TRUE","Yes","2000000","No","Bought bodaboda","C"
"161","T_161","EN_9","9/11/2018","KIBOGA","KAPEKE",21,"Male",3,"No","4",7,4,2,"KIBOGA","KAPEKE",96,2,"No","n/a","n/a","n/a","No","n/a","1/1/2018","1/1/2018",60,999,999,"n/a","2","3","2","No","No",1150,1,1,10,0,0,10,0,10,0,0,9,1000,1,1,14,0,0,14,0,14,0,0,9,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,0,0,0,1,0,0,2,"n/a",20,4,0.5,"Yes","Yes","Yes","08:03:00.000+03","1","4","3","n/a","n/a","n/a","n/a","n/a","100","10","10","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","C"
"162","T_162","EN_9","9/11/2018","KIBOGA","KYAMUGWERA",32,"Male",4,"Yes","n/a",3,2,5,"KYANKWANZI","BWABA",96,2,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2017",30,3,2,"n/a","2","1","1","No","No",1200,1,1,50,0,0,50,0,0,0,0,5,700,1,1,70,0,0,70,0,0,0,0,5,3,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0,0,1,0,0,1,0,0,3,"Yes",70,4,1,"Yes","Yes","Yes","07:00:00.000+03","1","4","3","n/a","n/a","n/a","n/a","n/a","42","70","11.2","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","No","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","C"
"163","T_163","EN_15","9/11/2018","KIBOGA","DWANIRO",24,"Male",4,"No","3",6,2,5,"KIBOGA","KAPEKE",2,2,"No","n/a","n/a","n/a","No","n/a","1/1/2017","1/1/2017",100,2,0,"n/a","3","1","1","No","No",800,1,1,100,0,0,100,0,0,0,0,5,800,1,1,180,0,0,180,0,0,0,0,3,1,"5","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",2,0,0,5,1,0,1,0,1,3,"Yes",180,1,1,"Yes","Yes","Yes","09:00:00.000+03","1","5","3","n/a","n/a","n/a","n/a","n/a","50","180","2.5","Seller","n/a","n/a","n/a","Yes","2","Yes","Yes","Yes","FALSE","FALSE","FALSE","TRUE","Yes","500000","Yes","Bought Cattle","C"
